Rank,Name,Team,Position,FantasyPoints
193,Jahan Dotson,PHI,WR,101.31
194,Elijah Moore,CLE,WR,100.99
195,Khalil Herbert,CHI,RB,100.33
196,Bucky Irving,TB,RB,99.75
197,Jermaine Burton,CIN,WR,98.94
198,Ray-Ray McCloud III,ATL,WR,96.45
199,Luke McCaffrey,WAS,WR,95.19
200,Malachi Corley,NYJ,WR,94.68
201,Ray Davis,BUF,RB,94.33
202,Kendrick Bourne,NE,WR,94.10
203,Isaiah Likely,BAL,TE,91.86
204,Ben Sinnott,WAS,TE,89.71
205,Mike Gesicki,CIN,TE,89.46
206,Jordan Mason,SF,RB,88.68
207,Noah Brown,WAS,WR,88.46
208,Tyrone Tracy Jr.,NYG,RB,87.72
209,Justin Fields,PIT,QB,86.24
210,Tim Patrick,DET,WR,85.97
211,Zach Ertz,WAS,TE,84.80
212,Jonathan Mingo,CAR,WR,84.54
213,Greg Dulcich,DEN,TE,84.50
214,Kalif Raymond,DET,WR,83.14
215,Michael Mayer,LV,TE,82.32
216,Dyami Brown,WAS,WR,82.04
217,MarShawn Lloyd,GB,RB,82.01
218,A.T. Perry,NO,WR,81.94
219,Jalen Nailor,MIN,WR,81.89
220,Alexander Mattison,LV,RB,81.00
221,Alec Pierce,IND,WR,80.22
222,Jamaal Williams,NO,RB,80.19
223,Treylon Burks,TEN,WR,79.97
224,Dawson Knox,BUF,TE,79.77
225,Tucker Kraft,GB,TE,79.08
226,Troy Franklin,DEN,WR,78.80
227,Theo Johnson,NYG,TE,78.75
228,Hayden Hurst,LAC,TE,78.45
229,Kenneth Gainwell,PHI,RB,78.33
230,Odell Beckham Jr.,MIA,WR,77.18
231,Braelon Allen,NYJ,RB,76.68
232,Colby Parkinson,LAR,TE,76.67
233,Ja'Tavion Sanders,CAR,TE,76.39
234,Aidan O'Connell,LV,QB,74.47
235,Taysom Hill,NO,QB,74.16
236,Gerald Everett,CHI,TE,73.53
237,Kylen Granson,IND,TE,73.25
238,Jaylen Wright,MIA,RB,72.57
239,Xavier Gipson,NYJ,WR,72.03
240,Jauan Jennings,SF,WR,71.92
241,Roschon Johnson,CHI,RB,71.22
242,Van Jefferson,PIT,WR,70.59
243,Miles Sanders,CAR,RB,70.18
244,Justice Hill,BAL,RB,69.81
245,Nelson Agholor,BAL,WR,69.38
246,Clyde Edwards-Helaire,KC,RB,69.10
247,Trey Palmer,TB,WR,68.47
248,Olamide Zaccheaus,WAS,WR,68.27
249,Calvin Austin III,PIT,WR,67.52
250,JuJu Smith-Schuster,KC,WR,65.50
251,Dameon Pierce,HOU,RB,64.95
252,Javon Baker,NE,WR,64.81
253,Daniel Bellinger,NYG,TE,64.61
254,KaVontae Turpin,DAL,WR,64.24
255,Audric Estime,DEN,RB,63.77
256,Tank Bigsby,JAX,RB,63.64
257,K.J. Osborn,NE,WR,63.57
258,Cedrick Wilson Jr.,NO,WR,63.36
259,Samaje Perine,KC,RB,61.30
260,Emanuel Wilson,GB,RB,61.26
261,Cedric Tillman,CLE,WR,60.46
262,Tyler Higbee,LAR,TE,60.37
263,D'Onta Foreman,CLE,RB,59.94
264,Malik Washington,MIA,WR,59.81
265,Zay Jones,ARI,WR,59.30
266,Kimani Vidal,LAC,RB,59.14
267,Kendre Miller,NO,RB,59.09
268,Noah Gray,KC,TE,57.86
269,Devontez Walker,BAL,WR,56.72
270,Parker Washington,JAX,WR,56.60
271,Eric Gray,NYG,RB,55.82
272,Will Dissly,LAC,TE,55.41
273,Tommy Tremble,CAR,TE,52.88
274,John Metchie III,HOU,WR,52.15
275,Jacoby Brissett,NE,QB,51.25
276,Trenton Irwin,CIN,WR,50.83
277,Keaton Mitchell,BAL,RB,50.60
278,Emari Demercado,ARI,RB,50.54
279,Trey Sermon,IND,RB,50.51
280,Mack Hollins,BUF,WR,50.03
281,Jake Bobo,SEA,WR,49.55
282,Will Shipley,PHI,RB,48.88
283,Tanner Hudson,CIN,TE,48.75
284,Pierre Strong Jr.,CLE,RB,47.54
285,Brevin Jordan,HOU,TE,47.51
286,Mo Alie-Cox,IND,TE,46.83
287,Bo Melton,GB,WR,46.22
288,Justin Watson,KC,WR,46.16
289,Ty Johnson,BUF,RB,45.90
290,Allen Lazard,NYJ,WR,45.85
291,Adam Trautman,DEN,TE,45.73
292,Dalvin Cook,DAL,RB,45.68
293,Brandon Powell,MIN,WR,45.60
294,KhaDarel Hodge,ATL,WR,45.26
295,Austin Hooper,NE,TE,44.89
296,Josh Oliver,MIN,TE,44.35
297,Jordan Whittington,LAR,WR,44.34
298,Isaiah Hodgins,NYG,WR,44.22
299,Tutu Atwell,LAR,WR,43.27
300,Isaac Guerendo,SF,RB,43.21
301,Isaiah Williams,DET,WR,42.53
302,David Bell,CLE,WR,42.38
303,Tyquan Thornton,NE,WR,41.83
304,Deuce Vaughn,DAL,RB,41.80
305,Durham Smythe,MIA,TE,41.65
306,David Long Jr.,IND,WR,41.54
307,Cam Akers,HOU,RB,41.39
308,Donovan Peoples-Jones,DET,WR,40.52
309,Johnny Mundt,MIN,TE,40.37
310,Dylan Laube,LV,RB,40.19
311,Nick Westbrook-Ikhine,TEN,WR,40.10
312,Jeremy Ruckert,NYJ,TE,39.79
313,Brenden Rice,LAC,WR,39.67
314,Chris Rodriguez Jr.,WAS,RB,39.61
315,Josh Whyle,TEN,TE,39.20
316,Cordarrelle Patterson,PIT,RB,38.73
317,Tyler Goodson,IND,RB,38.17
318,Elijah Higgins,ARI,TE,38.01
319,Devaughn Vele,DEN,WR,37.58
320,AJ Barner,SEA,TE,37.44
321,Braxton Berrios,MIA,WR,37.11
322,Marquez Valdes-Scantling,BUF,WR,37.00
323,Brock Wright,DET,TE,36.98
324,Derius Davis,LAC,WR,36.57
325,Tyler Scott,CHI,WR,36.33
326,Foster Moreau,NO,TE,36.29
327,Ryan Flournoy,DAL,WR,35.41
328,Evan Hull,IND,RB,35.27
329,Rakim Jarrett,TB,WR,35.14
330,Kevin Harris,NE,RB,34.93
331,Michael Carter,ARI,RB,34.52
332,Lucas Krull,DEN,TE,34.42
333,Cade Stover,HOU,TE,34.24
334,Parris Campbell,PHI,WR,33.96
335,Jalen Brooks,DAL,WR,33.82
336,Robert Woods,HOU,WR,33.73
337,Erick All Jr.,CIN,TE,33.68
338,Jaheim Bell,NE,TE,33.49
339,Skyy Moore,KC,WR,33.41
340,Johnny Wilson,PHI,WR,32.98
341,D'Ernest Johnson,JAX,RB,32.86
342,Casey Washington,ATL,WR,32.78
343,Rasheen Ali,BAL,RB,32.29
344,Jeremy McNichols,WAS,RB,32.06
345,Mecole Hardman,KC,WR,31.92
346,Darnell Washington,PIT,TE,31.91
347,Isaiah Davis,NYJ,RB,31.65
348,Bryce Ford-Wheaton,NYG,WR,31.53
349,Bub Means,NO,WR,31.41
350,Ameer Abdullah,LV,RB,31.35
351,Drew Ogletree,IND,TE,31.27
352,Donald Parham Jr.,DEN,TE,31.19
353,Jase McClellan,ATL,RB,31.07
354,Davis Allen,LAR,TE,30.53
355,Chase Edmonds,TB,RB,30.41
356,Jared Wiley,KC,TE,30.38
357,Mason Tipton,NO,WR,30.31
358,Jacob Cowing,SF,WR,30.18
359,Will Mallory,IND,TE,30.10
360,Allen Robinson II,DET,WR,30.06
361,Sam Howell,SEA,QB,29.67
362,Brandon Johnson,PIT,WR,29.43
363,JaMycal Hasty,NE,RB,29.32
364,Charlie Jones,CIN,WR,29.21
365,Drew Lock,NYG,QB,29.08
366,Connor Heyward,PIT,TE,29.07
367,Jordan Akins,CLE,TE,29.02
368,Nikko Remigio,KC,WR,29.00
369,Tejhaun Palmer,ARI,WR,28.99
370,Jordan Mims,NO,RB,28.94
371,Trent Sherfield Sr.,MIN,WR,28.81
372,Sterling Shepard,TB,WR,28.49
373,Jimmy Garoppolo,LAR,QB,28.21
374,Tahj Washington,MIA,WR,28.19
375,Drew Sample,CIN,TE,28.16
376,Tip Reiman,ARI,TE,28.14
377,Tyrod Taylor,NYJ,QB,28.00
378,Lawrence Cager,NYG,TE,27.72
379,Jamari Thrash,CLE,WR,27.48
380,Robert Tonyan,MIN,TE,27.37
381,Michael Woods II,CLE,WR,27.22
382,Luke Schoonmaker,DAL,TE,27.17
383,Pharaoh Brown,SEA,TE,27.15
384,Grant Calcaterra,PHI,TE,27.03
385,Luke Farrell,JAX,TE,26.86
386,Justyn Ross,KC,WR,26.78
387,Travis Vokolek,ARI,TE,26.65
388,Ronnie Rivers,LAR,RB,26.43
389,Craig Reynolds,DET,RB,26.38
390,Jamison Crowder,WAS,WR,25.94
391,Deonte Harty,BAL,WR,25.93
392,Jameis Winston,CLE,QB,25.85
393,Antoine Green,DET,WR,25.74
394,Stone Smartt,LAC,TE,25.67
395,Payne Durham,TB,TE,25.44
396,Hunter Luepke,DAL,RB,25.43
397,Marcus Rosemy-Jacksaint,PHI,WR,25.41
398,Devin Culp,TB,TE,25.34
399,KJ Hamler,BUF,WR,25.26
400,Jeff Wilson Jr.,MIA,RB,25.22
401,Kameron Johnson,TB,WR,25.20
402,Ainias Smith,PHI,WR,25.13
403,Devin Duvernay,JAX,WR,24.63
404,Deneric Prince,MIA,RB,24.41
405,Quez Watkins,PIT,WR,24.34
406,Ian Thomas,CAR,TE,24.34
407,Brenton Strange,JAX,TE,24.32
408,Jake Browning,CIN,QB,24.01
409,Xavier Hutchinson,HOU,WR,23.64
410,Laviska Shenault Jr.,SEA,WR,23.58
411,Ben Sims,GB,TE,23.51
412,Tanner McLachlan,CIN,TE,23.47
413,Ben Skowronek,PIT,WR,23.22
414,Cole Turner,WAS,TE,23.10
415,Anthony Gould,IND,WR,22.67
416,Frank Gore Jr.,BUF,RB,22.42
417,Kayshon Boutte,NE,WR,22.42
418,Ronnie Bell,SF,WR,22.41
419,Blake Watson,DEN,RB,22.38
420,Kyle Philips,PHI,WR,22.20
421,Cameron Latu,CLE,TE,22.11
422,David Moore,CAR,WR,22.02
423,Dallin Holker,NO,TE,22.02
424,Kenny McIntosh,SEA,RB,21.94
425,Nick Mullens,MIN,QB,21.86
426,Robbie Chosen,MIA,WR,21.85
427,Israel Abanikanda,NYJ,RB,21.67
428,Peyton Hendershot,KC,TE,21.60
429,Chris Conley,SF,WR,21.60
430,Chris Moore,ARI,WR,21.52
431,Avery Williams,ATL,RB,20.87
432,Ashton Dulin,IND,WR,20.70
433,John Bates,WAS,TE,20.66
434,Julius Chestnut,TEN,RB,20.34
435,Equanimeous St. Brown,NO,WR,20.30
436,Jalen Reagor,NE,WR,20.30
437,Trayveon Williams,CIN,RB,20.27
438,Chris Manhertz,NYG,TE,20.04
439,Joe Flacco,IND,QB,19.89
440,Jalen Guyton,LV,WR,19.85
441,MyCole Pruitt,PIT,TE,19.78
442,Dare Ogunbowale,HOU,RB,19.77
443,Josh Johnson,BAL,QB,19.77
444,Quintin Morris,BUF,TE,19.55
445,Charlie Woerner,ATL,TE,19.55
446,Mason Rudolph,TEN,QB,19.40
447,Jack Stoll,PHI,TE,19.37
448,Mac Jones,JAX,QB,19.36
449,Easton Stick,LAC,QB,19.24
450,Raheem Blackshear,CAR,RB,19.19
451,Michael Penix Jr.,ATL,QB,19.15
452,Harrison Bryant,LV,TE,19.13
453,Tucker Fisk,LAC,TE,19.00
454,Zach Pascal,ARI,WR,18.92
455,Desmond Ridder,ARI,QB,18.39
456,Mike White,BUF,QB,18.34
457,Ross Dwelley,ATL,TE,18.30
458,Jason Brownlee,NYJ,WR,17.99
459,Joshua Cephus,JAX,WR,17.93
460,Skylar Thompson,MIA,QB,17.77
461,Nate Adkins,DEN,TE,17.76
462,Malik Heath,GB,WR,17.59
463,Dareke Young,SEA,WR,17.59
464,Jarrett Stidham,DEN,QB,17.58
465,Nyheim Hines,CLE,RB,17.52
466,Spencer Rattler,NO,QB,17.48
467,Albert Okwuegbunam Jr.,PHI,TE,17.36
468,Brady Russell,SEA,TE,17.06
469,Eric Saubert,SF,TE,17.00
470,Simi Fehoko,LAC,WR,16.98
471,Carson Wentz,KC,QB,16.97
472,Tim Jones,JAX,WR,16.78
473,Marcedes Lewis,CHI,TE,16.77
474,Hendon Hooker,DET,QB,16.76
475,Terrace Marshall Jr.,SF,WR,16.71
476,Tre'Quan Smith,DET,WR,16.70
477,River Cracraft,MIA,WR,16.51
478,Boston Scott,PIT,RB,16.47
479,Joshua Dobbs,SF,QB,16.34
480,Dillon Johnson,CAR,RB,16.11
481,Cooper Rush,DAL,QB,16.10
482,Carlos Washington Jr.,ATL,RB,15.85
483,Davis Mills,HOU,QB,15.81
484,Malik Willis,GB,QB,15.79
485,Marcus Mariota,WAS,QB,15.55
486,Mitchell Trubisky,BUF,QB,15.29
487,Nick Muse,MIN,TE,15.12
488,Tyson Bagent,CHI,QB,15.02
489,DJ Turner,LV,WR,14.98
490,Kenny Pickett,PHI,QB,14.66
491,Samori Toure,CHI,WR,14.59
492,Hunter Long,LAR,TE,14.54
493,Charlie Kolar,BAL,TE,14.35
494,Clayton Tune,ARI,QB,14.33
495,Kyle Trask,TB,QB,13.69
496,Andy Dalton,CAR,QB,13.69
497,Ke'Shawn Vaughn,SF,RB,13.45
498,Michael Pratt,TB,QB,13.26
499,Scotty Miller,PIT,WR,13.09
500,Trey Lance,DAL,QB,13.04
501,Velus Jones Jr.,CHI,WR,13.01
502,Sean Tucker,TB,RB,12.98
503,Jake Haener,NO,QB,12.91
504,Taylor Heinicke,LAC,QB,12.76
505,Stetson Bennett,LAR,QB,12.70
506,Jaret Patterson,LAC,RB,12.41
507,Julian Hill,MIA,TE,11.88
508,Tylan Wallace,BAL,WR,11.37
509,DeeJay Dallas,ARI,RB,11.33
510,Britain Covey,PHI,WR,10.88
511,Travis Homer,CHI,RB,10.74
512,Malik Davis,DAL,RB,10.17
513,Ko Kieft,TB,TE,10.01
514,Anthony Firkser,NYJ,TE,9.95
515,Chris Evans,CIN,RB,9.94
516,Tyler Huntley,BAL,QB,9.83
517,Dee Eskridge,MIA,WR,9.56
518,Cody Schrader,LAR,RB,9.34
519,Gunner Olszewski,NYG,WR,9.21
520,Malik Taylor,NYJ,WR,9.16
521,Zach Wilson,DEN,QB,9.08
522,Tommy Devito,NYG,QB,8.91
523,Case Keenum,HOU,QB,8.39
524,Hassan Haskins,LAC,RB,8.25
525,Patrick Taylor Jr.,SF,RB,8.16
526,Jha'Quan Jackson,TEN,WR,8.06
527,Sam Hartman,WAS,QB,8.04
528,Jordan Travis,NYJ,QB,8.04
529,Emani Bailey,KC,RB,7.94
530,Josiah Deguara,JAX,TE,7.91
531,Elijah Cooks,JAX,WR,7.90
532,Keilan Robinson,JAX,RB,7.72
533,Jaren Hall,SEA,QB,7.49
534,Erik Ezukanma,MIA,WR,7.12
535,Kyle Allen,PIT,QB,6.92
536,Sean Clifford,GB,QB,6.88
537,Myles Gaskin,MIN,RB,6.86
538,Dorian Thompson-Robinson,CLE,QB,6.86
539,Parker Hesse,DET,TE,6.80
540,Bailey Zappe,KC,QB,6.76
541,Joe Milton III,NE,QB,6.62
542,Irvin Charles,NYJ,WR,6.34
543,Tanner McKee,PHI,QB,6.22
544,Sam Ehlinger,IND,QB,6.19
545,Tyler Johnson,LAR,WR,6.18
546,Byron Pringle,WAS,WR,5.77
547,Mitchell Wilcox,NE,TE,5.67
548,Keaontay Ingram,KC,RB,5.62
549,La'Mical Perine,GB,RB,5.26
550,Kenny Yeboah,NYJ,TE,5.10
551,Cody White,SEA,WR,4.85
552,Jake Tonges,SF,TE,4.56
553,Montrell Washington,KC,WR,4.52
554,DeAndre Carter,CHI,WR,4.45
555,Kristian Wilkerson,LV,WR,4.24
556,Chris Brooks,GB,RB,4.10
557,Lil'Jordan Humphrey,DEN,WR,4.00
558,Jeff Driskel,WAS,QB,3.81
559,David Sills,DEN,WR,3.79
560,Stephen Carlson,CHI,TE,3.53
561,Jalen Coker,CAR,WR,3.30
562,Shane Zylstra,DET,TE,2.99
563,Trishton Jackson,MIN,WR,2.93
564,Tyrion Davis-Price,PHI,RB,2.76
565,James Mitchell,DET,TE,2.75
566,Dez Fitzpatrick,LAC,WR,2.70
567,Nick Vannett,TEN,TE,2.01
568,Tyler Mabry,SEA,TE,1.96
569,Devin Leary,BAL,QB,1.95
570,Gary Brightwell,CLE,RB,1.46
571,Tom Kennedy,DET,WR,1.15
572,Grant DuBose,MIA,WR,0.90
573,Dante Pettis,CHI,WR,0.86
574,Nathan Peterman,ATL,QB,0.80
575,Mike Boone,CAR,RB,0.73
576,Steven Sims,HOU,WR,0.71
577,Ramel Keyton,LV,WR,0.40
578,N'Keal Harry,MIN,WR,0.27
579,John Wolford,CAR,QB,0.22
580,Jonathan Ward,PIT,RB,0.22
581,John FitzPatrick,ATL,TE,0.21
582,James Proche II,CLE,WR,0.20
583,Tyler Davis,GB,TE,0.19
584,Darrynton Evans,BUF,RB,0.15
585,Cole Fotheringham,HOU,TE,0.10
586,Malik Cunningham,BAL,WR,0.08
587,Brett Rypien,MIN,QB,0.05
588,Dante Miller,NYG,RB,0.02
589,Brayden Willis,SF,TE,0.01
590,Keith Kirkwood,BAL,WR,0.00
591,Chris Jones,PHI,TE,0.00
592,Nathan Rourke,ATL,QB,0.00
593,Justin Shorter,LV,WR,0.00
594,Stanley Morgan Jr.,NO,WR,0.00
595,Daylen Baldwin,MIN,WR,0.00
596,Maurice Alexander,DET,WR,0.00
597,Tim Boyle,HOU,QB,0.00
598,Cornelius Johnson,LAC,WR,0.00
599,Xavier Weaver,ARI,WR,0.00
600,Royce Freeman,DAL,RB,0.00
601,Irv Smith,KC,TE,0.00
602,Xavier Smith,LAR,WR,0.00
603,Justin Jefferson,HOU,RB,0.00
604,Kene Nwangwu,NO,RB,0.00
605,Sione Vaki,DET,RB,0.00
606,Shedrick Jackson,CIN,WR,0.00
607,Giovanni Ricci,CLE,TE,0.00
608,Austin Trammell,JAX,WR,0.00
609,DeWayne McBride,MIN,RB,0.00
610,Feleipe Franks,CAR,TE,0.00
611,Ian Book,KC,QB,0.00
612,Ben DiNucci,DEN,QB,0.00
613,Luis Perez,LAC,QB,0.00
614,Jelani Woods,IND,TE,0.00
615,Chase Claypool,BUF,WR,0.00
616,Kadarius Toney,KC,WR,0.00
617,Collin Johnson,CHI,WR,0.00
618,Kaden Davis,DET,WR,0.00
619,Louis Rees-Zammit,JAX,RB,0.00
620,Rondale Moore,ATL,WR,0.00
621,Isaiah Spiller,LAC,RB,0.00
622,Russell Gage,BAL,WR,0.00
623,Jawhar Jordan,HOU,RB,0.00
624,Zonovan Knight,DET,RB,0.00
625,Max Duggan,LAC,QB,0.00
626,Austin Jones,WAS,RB,0.00
627,David Long Jr.,TB,RB,0.00
628,Snoop Conner,DAL,RB,0.00
629,Joseph Ngata,PHI,WR,0.00
630,Lew Nichols,PHI,RB,0.00
631,Austin Stogner,ATL,TE,0.00
632,Jody Fortson Jr.,MIA,TE,0.00
633,Michael Wiley,WAS,RB,0.00
634,George Holani,SEA,RB,0.00
635,Mike Strachan,CAR,WR,0.00
636,Jabari Small,TEN,RB,0.00
637,Mason Pline,SF,TE,0.00
638,Danny Gray,SF,WR,0.00
639,Ellis Merriweather,GB,RB,0.00
640,Daijun Edwards,PIT,RB,0.00
641,Kendall Milton,CIN,RB,0.00
642,Zach Evans,LAR,RB,0.00
643,Mason Kinsey,TEN,WR,0.00
644,Josh Ali,ATL,WR,0.00
645,Mitchell Tinsley,WAS,WR,0.00
646,Shi Smith,KC,WR,0.00
647,Braylon Sanders,MIA,WR,0.00
648,Tay Martin,SF,WR,0.00
