SeasonType,Season,Week,Name,ShortName,StartDate,EndDate,ApiSeason,ApiWeek
3,2002,2,Divisional Playoffs,Divisional,2003-01-07T00:00:00,2003-01-13T23:59:59,2002POST,2
3,2002,3,Conference Championships,Conference,2003-01-14T00:00:00,2003-01-20T23:59:59,2002POST,3
3,2002,4,Super Bowl XXXVII,Super Bowl,2003-01-21T00:00:00,2003-03-14T23:59:59,2002POST,4
4,2002,,End of League Year,End of League Year,2003-03-15T00:00:00,2003-03-15T23:59:59,2002REG,
4,2003,,Offseason,Offseason,2003-03-16T00:00:00,2003-09-02T23:59:59,2003REG,
1,2003,1,Week 1,Week 1,2003-09-03T00:00:00,2003-09-09T23:59:59,2003REG,1
1,2003,2,Week 2,Week 2,2003-09-10T00:00:00,2003-09-16T23:59:59,2003REG,2
1,2003,3,Week 3,Week 3,2003-09-17T00:00:00,2003-09-23T23:59:59,2003REG,3
1,2003,4,Week 4,Week 4,2003-09-24T00:00:00,2003-09-30T23:59:59,2003REG,4
1,2003,5,Week 5,Week 5,2003-10-01T00:00:00,2003-10-07T23:59:59,2003REG,5
1,2003,6,Week 6,Week 6,2003-10-08T00:00:00,2003-10-14T23:59:59,2003REG,6
1,2003,7,Week 7,Week 7,2003-10-15T00:00:00,2003-10-21T23:59:59,2003REG,7
1,2003,8,Week 8,Week 8,2003-10-22T00:00:00,2003-10-28T23:59:59,2003REG,8
1,2003,9,Week 9,Week 9,2003-10-29T00:00:00,2003-11-04T23:59:59,2003REG,9
1,2003,10,Week 10,Week 10,2003-11-05T00:00:00,2003-11-11T23:59:59,2003REG,10
1,2003,11,Week 11,Week 11,2003-11-12T00:00:00,2003-11-18T23:59:59,2003REG,11
1,2003,12,Week 12,Week 12,2003-11-19T00:00:00,2003-11-25T23:59:59,2003REG,12
1,2003,13,Week 13,Week 13,2003-11-26T00:00:00,2003-12-02T23:59:59,2003REG,13
1,2003,14,Week 14,Week 14,2003-12-03T00:00:00,2003-12-09T23:59:59,2003REG,14
1,2003,15,Week 15,Week 15,2003-12-10T00:00:00,2003-12-16T23:59:59,2003REG,15
1,2003,16,Week 16,Week 16,2003-12-17T00:00:00,2003-12-23T23:59:59,2003REG,16
1,2003,17,Week 17,Week 17,2003-12-24T00:00:00,2003-12-29T23:59:59,2003REG,17
3,2003,1,Wild Card,Wild Card,2003-12-30T00:00:00,2004-01-05T23:59:59,2003POST,1
3,2003,2,Divisional Playoffs,Divisional,2004-01-06T00:00:00,2004-01-12T23:59:59,2003POST,2
3,2003,3,Conference Championships,Conference,2004-01-13T00:00:00,2004-01-19T23:59:59,2003POST,3
3,2003,4,Super Bowl XXXVIII,Super Bowl,2004-01-20T00:00:00,2004-03-14T23:59:59,2003POST,4
4,2003,,End of League Year,End of League Year,2004-03-15T00:00:00,2004-03-15T23:59:59,2003REG,
4,2004,,Offseason,Offseason,2004-03-16T00:00:00,2004-09-07T23:59:59,2004REG,
1,2004,1,Week 1,Week 1,2004-09-08T00:00:00,2004-09-14T23:59:59,2004REG,1
1,2004,2,Week 2,Week 2,2004-09-15T00:00:00,2004-09-21T23:59:59,2004REG,2
1,2004,3,Week 3,Week 3,2004-09-22T00:00:00,2004-09-28T23:59:59,2004REG,3
1,2004,4,Week 4,Week 4,2004-09-29T00:00:00,2004-10-05T23:59:59,2004REG,4
1,2004,5,Week 5,Week 5,2004-10-06T00:00:00,2004-10-12T23:59:59,2004REG,5
1,2004,6,Week 6,Week 6,2004-10-13T00:00:00,2004-10-19T23:59:59,2004REG,6
1,2004,7,Week 7,Week 7,2004-10-20T00:00:00,2004-10-26T23:59:59,2004REG,7
1,2004,8,Week 8,Week 8,2004-10-27T00:00:00,2004-11-02T23:59:59,2004REG,8
1,2004,9,Week 9,Week 9,2004-11-03T00:00:00,2004-11-09T23:59:59,2004REG,9
1,2004,10,Week 10,Week 10,2004-11-10T00:00:00,2004-11-16T23:59:59,2004REG,10
1,2004,11,Week 11,Week 11,2004-11-17T00:00:00,2004-11-23T23:59:59,2004REG,11
1,2004,12,Week 12,Week 12,2004-11-24T00:00:00,2004-11-30T23:59:59,2004REG,12
1,2004,13,Week 13,Week 13,2004-12-01T00:00:00,2004-12-07T23:59:59,2004REG,13
1,2004,14,Week 14,Week 14,2004-12-08T00:00:00,2004-12-14T23:59:59,2004REG,14
1,2004,15,Week 15,Week 15,2004-12-15T00:00:00,2004-12-21T23:59:59,2004REG,15
1,2004,16,Week 16,Week 16,2004-12-22T00:00:00,2004-12-28T23:59:59,2004REG,16
1,2004,17,Week 17,Week 17,2004-12-29T00:00:00,2005-01-03T23:59:59,2004REG,17
3,2004,1,Wild Card,Wild Card,2005-01-04T00:00:00,2005-01-10T23:59:59,2004POST,1
3,2004,2,Divisional Playoffs,Divisional,2005-01-11T00:00:00,2005-01-17T23:59:59,2004POST,2
3,2004,3,Conference Championships,Conference,2005-01-18T00:00:00,2005-01-24T23:59:59,2004POST,3
3,2004,4,Super Bowl XXXIX,Super Bowl,2005-01-25T00:00:00,2005-03-14T23:59:59,2004POST,4
4,2004,,End of League Year,End of League Year,2005-03-15T00:00:00,2005-03-15T23:59:59,2004REG,
4,2005,,Offseason,Offseason,2005-03-16T00:00:00,2005-09-06T23:59:59,2005REG,
1,2005,1,Week 1,Week 1,2005-09-07T00:00:00,2005-09-13T23:59:59,2005REG,1
1,2005,2,Week 2,Week 2,2005-09-14T00:00:00,2005-09-20T23:59:59,2005REG,2
1,2005,3,Week 3,Week 3,2005-09-21T00:00:00,2005-09-27T23:59:59,2005REG,3
1,2005,4,Week 4,Week 4,2005-09-28T00:00:00,2005-10-04T23:59:59,2005REG,4
1,2005,5,Week 5,Week 5,2005-10-05T00:00:00,2005-10-11T23:59:59,2005REG,5
1,2005,6,Week 6,Week 6,2005-10-12T00:00:00,2005-10-18T23:59:59,2005REG,6
1,2005,7,Week 7,Week 7,2005-10-19T00:00:00,2005-10-25T23:59:59,2005REG,7
1,2005,8,Week 8,Week 8,2005-10-26T00:00:00,2005-11-01T23:59:59,2005REG,8
1,2005,9,Week 9,Week 9,2005-11-02T00:00:00,2005-11-08T23:59:59,2005REG,9
1,2005,10,Week 10,Week 10,2005-11-09T00:00:00,2005-11-15T23:59:59,2005REG,10
1,2005,11,Week 11,Week 11,2005-11-16T00:00:00,2005-11-22T23:59:59,2005REG,11
1,2005,12,Week 12,Week 12,2005-11-23T00:00:00,2005-11-29T23:59:59,2005REG,12
1,2005,13,Week 13,Week 13,2005-11-30T00:00:00,2005-12-06T23:59:59,2005REG,13
1,2005,14,Week 14,Week 14,2005-12-07T00:00:00,2005-12-13T23:59:59,2005REG,14
1,2005,15,Week 15,Week 15,2005-12-14T00:00:00,2005-12-20T23:59:59,2005REG,15
1,2005,16,Week 16,Week 16,2005-12-21T00:00:00,2005-12-27T23:59:59,2005REG,16
1,2005,17,Week 17,Week 17,2005-12-28T00:00:00,2006-01-02T23:59:59,2005REG,17
3,2005,1,Wild Card,Wild Card,2006-01-03T00:00:00,2006-01-09T23:59:59,2005POST,1
3,2005,2,Divisional Playoffs,Divisional,2006-01-10T00:00:00,2006-01-16T23:59:59,2005POST,2
3,2005,3,Conference Championships,Conference,2006-01-17T00:00:00,2006-01-23T23:59:59,2005POST,3
3,2005,4,Super Bowl XL,Super Bowl,2006-01-24T00:00:00,2006-03-14T23:59:59,2005POST,4
4,2005,,End of League Year,End of League Year,2006-03-15T00:00:00,2006-03-15T23:59:59,2005REG,
4,2006,,Offseason,Offseason,2006-03-16T00:00:00,2006-09-05T23:59:59,2006REG,
1,2006,1,Week 1,Week 1,2006-09-06T00:00:00,2006-09-12T23:59:59,2006REG,1
1,2006,2,Week 2,Week 2,2006-09-13T00:00:00,2006-09-19T23:59:59,2006REG,2
1,2006,3,Week 3,Week 3,2006-09-20T00:00:00,2006-09-26T23:59:59,2006REG,3
1,2006,4,Week 4,Week 4,2006-09-27T00:00:00,2006-10-03T23:59:59,2006REG,4
1,2006,5,Week 5,Week 5,2006-10-04T00:00:00,2006-10-10T23:59:59,2006REG,5
1,2006,6,Week 6,Week 6,2006-10-11T00:00:00,2006-10-17T23:59:59,2006REG,6
1,2006,7,Week 7,Week 7,2006-10-18T00:00:00,2006-10-24T23:59:59,2006REG,7
1,2006,8,Week 8,Week 8,2006-10-25T00:00:00,2006-10-31T23:59:59,2006REG,8
1,2006,9,Week 9,Week 9,2006-11-01T00:00:00,2006-11-07T23:59:59,2006REG,9
1,2006,10,Week 10,Week 10,2006-11-08T00:00:00,2006-11-14T23:59:59,2006REG,10
1,2006,11,Week 11,Week 11,2006-11-15T00:00:00,2006-11-21T23:59:59,2006REG,11
1,2006,12,Week 12,Week 12,2006-11-22T00:00:00,2006-11-28T23:59:59,2006REG,12
1,2006,13,Week 13,Week 13,2006-11-29T00:00:00,2006-12-05T23:59:59,2006REG,13
1,2006,14,Week 14,Week 14,2006-12-06T00:00:00,2006-12-12T23:59:59,2006REG,14
1,2006,15,Week 15,Week 15,2006-12-13T00:00:00,2006-12-19T23:59:59,2006REG,15
1,2006,16,Week 16,Week 16,2006-12-20T00:00:00,2006-12-26T23:59:59,2006REG,16
1,2006,17,Week 17,Week 17,2006-12-27T00:00:00,2007-01-01T23:59:59,2006REG,17
3,2006,1,Wild Card,Wild Card,2007-01-02T00:00:00,2007-01-08T23:59:59,2006POST,1
3,2006,2,Divisional Playoffs,Divisional,2007-01-09T00:00:00,2007-01-15T23:59:59,2006POST,2
3,2006,3,Conference Championships,Conference,2007-01-16T00:00:00,2007-01-22T23:59:59,2006POST,3
3,2006,4,Super Bowl XLI,Super Bowl,2007-01-23T00:00:00,2007-03-14T23:59:59,2006POST,4
4,2006,,End of League Year,End of League Year,2007-03-15T00:00:00,2007-03-15T23:59:59,2006REG,
4,2007,,Offseason,Offseason,2007-03-16T00:00:00,2007-09-04T23:59:59,2007REG,
1,2007,1,Week 1,Week 1,2007-09-05T00:00:00,2007-09-11T23:59:59,2007REG,1
1,2007,2,Week 2,Week 2,2007-09-12T00:00:00,2007-09-18T23:59:59,2007REG,2
1,2007,3,Week 3,Week 3,2007-09-19T00:00:00,2007-09-25T23:59:59,2007REG,3
1,2007,4,Week 4,Week 4,2007-09-26T00:00:00,2007-10-02T23:59:59,2007REG,4
1,2007,5,Week 5,Week 5,2007-10-03T00:00:00,2007-10-09T23:59:59,2007REG,5
1,2007,6,Week 6,Week 6,2007-10-10T00:00:00,2007-10-16T23:59:59,2007REG,6
1,2007,7,Week 7,Week 7,2007-10-17T00:00:00,2007-10-23T23:59:59,2007REG,7
1,2007,8,Week 8,Week 8,2007-10-24T00:00:00,2007-10-30T23:59:59,2007REG,8
1,2007,9,Week 9,Week 9,2007-10-31T00:00:00,2007-11-06T23:59:59,2007REG,9
1,2007,10,Week 10,Week 10,2007-11-07T00:00:00,2007-11-13T23:59:59,2007REG,10
1,2007,11,Week 11,Week 11,2007-11-14T00:00:00,2007-11-20T23:59:59,2007REG,11
1,2007,12,Week 12,Week 12,2007-11-21T00:00:00,2007-11-27T23:59:59,2007REG,12
1,2007,13,Week 13,Week 13,2007-11-28T00:00:00,2007-12-04T23:59:59,2007REG,13
1,2007,14,Week 14,Week 14,2007-12-05T00:00:00,2007-12-11T23:59:59,2007REG,14
1,2007,15,Week 15,Week 15,2007-12-12T00:00:00,2007-12-18T23:59:59,2007REG,15
1,2007,16,Week 16,Week 16,2007-12-19T00:00:00,2007-12-25T23:59:59,2007REG,16
1,2007,17,Week 17,Week 17,2007-12-26T00:00:00,2007-12-31T23:59:59,2007REG,17
3,2007,1,Wild Card,Wild Card,2008-01-01T00:00:00,2008-01-07T23:59:59,2007POST,1
3,2007,2,Divisional Playoffs,Divisional,2008-01-08T00:00:00,2008-01-14T23:59:59,2007POST,2
3,2007,3,Conference Championships,Conference,2008-01-15T00:00:00,2008-01-21T23:59:59,2007POST,3
3,2007,4,Super Bowl XLII,Super Bowl,2008-01-22T00:00:00,2008-03-14T23:59:59,2007POST,4
4,2007,,End of League Year,End of League Year,2008-03-15T00:00:00,2008-03-15T23:59:59,2007REG,
4,2008,,Offseason,Offseason,2008-03-16T00:00:00,2008-09-02T23:59:59,2008REG,
1,2008,1,Week 1,Week 1,2008-09-03T00:00:00,2008-09-09T23:59:59,2008REG,1
1,2008,2,Week 2,Week 2,2008-09-10T00:00:00,2008-09-16T23:59:59,2008REG,2
1,2008,3,Week 3,Week 3,2008-09-17T00:00:00,2008-09-23T23:59:59,2008REG,3
1,2008,4,Week 4,Week 4,2008-09-24T00:00:00,2008-09-30T23:59:59,2008REG,4
1,2008,5,Week 5,Week 5,2008-10-01T00:00:00,2008-10-07T23:59:59,2008REG,5
1,2008,6,Week 6,Week 6,2008-10-08T00:00:00,2008-10-14T23:59:59,2008REG,6
1,2008,7,Week 7,Week 7,2008-10-15T00:00:00,2008-10-21T23:59:59,2008REG,7
1,2008,8,Week 8,Week 8,2008-10-22T00:00:00,2008-10-28T23:59:59,2008REG,8
1,2008,9,Week 9,Week 9,2008-10-29T00:00:00,2008-11-04T23:59:59,2008REG,9
1,2008,10,Week 10,Week 10,2008-11-05T00:00:00,2008-11-11T23:59:59,2008REG,10
1,2008,11,Week 11,Week 11,2008-11-12T00:00:00,2008-11-18T23:59:59,2008REG,11
1,2008,12,Week 12,Week 12,2008-11-19T00:00:00,2008-11-25T23:59:59,2008REG,12
1,2008,13,Week 13,Week 13,2008-11-26T00:00:00,2008-12-02T23:59:59,2008REG,13
1,2008,14,Week 14,Week 14,2008-12-03T00:00:00,2008-12-09T23:59:59,2008REG,14
1,2008,15,Week 15,Week 15,2008-12-10T00:00:00,2008-12-16T23:59:59,2008REG,15
1,2008,16,Week 16,Week 16,2008-12-17T00:00:00,2008-12-23T23:59:59,2008REG,16
1,2008,17,Week 17,Week 17,2008-12-24T00:00:00,2008-12-29T23:59:59,2008REG,17
3,2008,1,Wild Card,Wild Card,2008-12-30T00:00:00,2009-01-05T23:59:59,2008POST,1
3,2008,2,Divisional Playoffs,Divisional,2009-01-06T00:00:00,2009-01-12T23:59:59,2008POST,2
3,2008,3,Conference Championships,Conference,2009-01-13T00:00:00,2009-01-19T23:59:59,2008POST,3
3,2008,4,Super Bowl XLIII,Super Bowl,2009-01-20T00:00:00,2009-03-14T23:59:59,2008POST,4
4,2008,,End of League Year,End of League Year,2009-03-15T00:00:00,2009-03-15T23:59:59,2008REG,
4,2009,,Offseason,Offseason,2009-03-16T00:00:00,2009-09-08T23:59:59,2009REG,
1,2009,1,Week 1,Week 1,2009-09-09T00:00:00,2009-09-15T23:59:59,2009REG,1
1,2009,2,Week 2,Week 2,2009-09-16T00:00:00,2009-09-22T23:59:59,2009REG,2
1,2009,3,Week 3,Week 3,2009-09-23T00:00:00,2009-09-29T23:59:59,2009REG,3
1,2009,4,Week 4,Week 4,2009-09-30T00:00:00,2009-10-06T23:59:59,2009REG,4
1,2009,5,Week 5,Week 5,2009-10-07T00:00:00,2009-10-13T23:59:59,2009REG,5
1,2009,6,Week 6,Week 6,2009-10-14T00:00:00,2009-10-20T23:59:59,2009REG,6
1,2009,7,Week 7,Week 7,2009-10-21T00:00:00,2009-10-27T23:59:59,2009REG,7
1,2009,8,Week 8,Week 8,2009-10-28T00:00:00,2009-11-03T23:59:59,2009REG,8
1,2009,9,Week 9,Week 9,2009-11-04T00:00:00,2009-11-10T23:59:59,2009REG,9
1,2009,10,Week 10,Week 10,2009-11-11T00:00:00,2009-11-17T23:59:59,2009REG,10
1,2009,11,Week 11,Week 11,2009-11-18T00:00:00,2009-11-24T23:59:59,2009REG,11
1,2009,12,Week 12,Week 12,2009-11-25T00:00:00,2009-12-01T23:59:59,2009REG,12
1,2009,13,Week 13,Week 13,2009-12-02T00:00:00,2009-12-08T23:59:59,2009REG,13
1,2009,14,Week 14,Week 14,2009-12-09T00:00:00,2009-12-15T23:59:59,2009REG,14
1,2009,15,Week 15,Week 15,2009-12-16T00:00:00,2009-12-22T23:59:59,2009REG,15
1,2009,16,Week 16,Week 16,2009-12-23T00:00:00,2009-12-29T23:59:59,2009REG,16
1,2009,17,Week 17,Week 17,2009-12-30T00:00:00,2010-01-04T23:59:59,2009REG,17
3,2009,1,Wild Card,Wild Card,2010-01-05T00:00:00,2010-01-11T23:59:59,2009POST,1
3,2009,2,Divisional Playoffs,Divisional,2010-01-12T00:00:00,2010-01-18T23:59:59,2009POST,2
3,2009,3,Conference Championships,Conference,2010-01-19T00:00:00,2010-01-25T23:59:59,2009POST,3
3,2009,4,Super Bowl XLIV,Super Bowl,2010-01-26T00:00:00,2010-03-14T23:59:59,2009POST,4
4,2009,,End of League Year,End of League Year,2010-03-15T00:00:00,2010-03-15T23:59:59,2009REG,
4,2010,,Offseason,Offseason,2010-03-16T00:00:00,2010-09-07T23:59:59,2010REG,
1,2010,1,Week 1,Week 1,2010-09-08T00:00:00,2010-09-14T23:59:59,2010REG,1
1,2010,2,Week 2,Week 2,2010-09-15T00:00:00,2010-09-21T23:59:59,2010REG,2
1,2010,3,Week 3,Week 3,2010-09-22T00:00:00,2010-09-28T23:59:59,2010REG,3
1,2010,4,Week 4,Week 4,2010-09-29T00:00:00,2010-10-05T23:59:59,2010REG,4
1,2010,5,Week 5,Week 5,2010-10-06T00:00:00,2010-10-12T23:59:59,2010REG,5
1,2010,6,Week 6,Week 6,2010-10-13T00:00:00,2010-10-19T23:59:59,2010REG,6
1,2010,7,Week 7,Week 7,2010-10-20T00:00:00,2010-10-26T23:59:59,2010REG,7
1,2010,8,Week 8,Week 8,2010-10-27T00:00:00,2010-11-02T23:59:59,2010REG,8
1,2010,9,Week 9,Week 9,2010-11-03T00:00:00,2010-11-09T23:59:59,2010REG,9
1,2010,10,Week 10,Week 10,2010-11-10T00:00:00,2010-11-16T23:59:59,2010REG,10
1,2010,11,Week 11,Week 11,2010-11-17T00:00:00,2010-11-23T23:59:59,2010REG,11
1,2010,12,Week 12,Week 12,2010-11-24T00:00:00,2010-11-30T23:59:59,2010REG,12
1,2010,13,Week 13,Week 13,2010-12-01T00:00:00,2010-12-07T23:59:59,2010REG,13
1,2010,14,Week 14,Week 14,2010-12-08T00:00:00,2010-12-14T23:59:59,2010REG,14
1,2010,15,Week 15,Week 15,2010-12-15T00:00:00,2010-12-21T23:59:59,2010REG,15
1,2010,16,Week 16,Week 16,2010-12-22T00:00:00,2010-12-28T23:59:59,2010REG,16
1,2010,17,Week 17,Week 17,2010-12-29T00:00:00,2011-01-03T23:59:59,2010REG,17
3,2010,1,Wild Card,Wild Card,2011-01-04T00:00:00,2011-01-10T23:59:59,2010POST,1
3,2010,2,Divisional Playoffs,Divisional,2011-01-11T00:00:00,2011-01-17T23:59:59,2010POST,2
3,2010,3,Conference Championships,Conference,2011-01-18T00:00:00,2011-01-24T23:59:59,2010POST,3
3,2010,4,Super Bowl XLV,Super Bowl,2011-01-25T00:00:00,2011-03-14T23:59:59,2010POST,4
4,2010,,End of League Year,End of League Year,2011-03-15T00:00:00,2011-03-15T23:59:59,2010REG,
4,2011,,Offseason,Offseason,2011-03-16T00:00:00,2011-09-06T23:59:59,2011REG,
1,2011,1,Week 1,Week 1,2011-09-07T00:00:00,2011-09-13T23:59:59,2011REG,1
1,2011,2,Week 2,Week 2,2011-09-14T00:00:00,2011-09-20T23:59:59,2011REG,2
1,2011,3,Week 3,Week 3,2011-09-21T00:00:00,2011-09-27T23:59:59,2011REG,3
1,2011,4,Week 4,Week 4,2011-09-28T00:00:00,2011-10-04T23:59:59,2011REG,4
1,2011,5,Week 5,Week 5,2011-10-05T00:00:00,2011-10-11T23:59:59,2011REG,5
1,2011,6,Week 6,Week 6,2011-10-12T00:00:00,2011-10-18T23:59:59,2011REG,6
1,2011,7,Week 7,Week 7,2011-10-19T00:00:00,2011-10-25T23:59:59,2011REG,7
1,2011,8,Week 8,Week 8,2011-10-26T00:00:00,2011-11-01T23:59:59,2011REG,8
1,2011,9,Week 9,Week 9,2011-11-02T00:00:00,2011-11-08T23:59:59,2011REG,9
1,2011,10,Week 10,Week 10,2011-11-09T00:00:00,2011-11-15T23:59:59,2011REG,10
1,2011,11,Week 11,Week 11,2011-11-16T00:00:00,2011-11-22T23:59:59,2011REG,11
1,2011,12,Week 12,Week 12,2011-11-23T00:00:00,2011-11-29T23:59:59,2011REG,12
1,2011,13,Week 13,Week 13,2011-11-30T00:00:00,2011-12-06T23:59:59,2011REG,13
1,2011,14,Week 14,Week 14,2011-12-07T00:00:00,2011-12-13T23:59:59,2011REG,14
1,2011,15,Week 15,Week 15,2011-12-14T00:00:00,2011-12-20T23:59:59,2011REG,15
1,2011,16,Week 16,Week 16,2011-12-21T00:00:00,2011-12-27T23:59:59,2011REG,16
1,2011,17,Week 17,Week 17,2011-12-28T00:00:00,2012-01-02T23:59:59,2011REG,17
3,2011,1,Wild Card,Wild Card,2012-01-03T00:00:00,2012-01-09T23:59:59,2011POST,1
3,2011,2,Divisional Playoffs,Divisional,2012-01-10T00:00:00,2012-01-16T23:59:59,2011POST,2
3,2011,3,Conference Championships,Conference,2012-01-17T00:00:00,2012-01-23T23:59:59,2011POST,3
3,2011,4,Super Bowl XLVI,Super Bowl,2012-01-24T00:00:00,2012-03-14T23:59:59,2011POST,4
4,2011,,End of League Year,End of League Year,2012-03-15T00:00:00,2012-03-15T23:59:59,2011REG,
4,2012,,Offseason,Offseason,2012-03-16T00:00:00,2012-09-04T23:59:59,2012REG,
1,2012,1,Week 1,Week 1,2012-09-05T00:00:00,2012-09-11T23:59:59,2012REG,1
1,2012,2,Week 2,Week 2,2012-09-12T00:00:00,2012-09-18T23:59:59,2012REG,2
1,2012,3,Week 3,Week 3,2012-09-19T00:00:00,2012-09-25T23:59:59,2012REG,3
1,2012,4,Week 4,Week 4,2012-09-26T00:00:00,2012-10-02T23:59:59,2012REG,4
1,2012,5,Week 5,Week 5,2012-10-03T00:00:00,2012-10-09T23:59:59,2012REG,5
1,2012,6,Week 6,Week 6,2012-10-10T00:00:00,2012-10-16T23:59:59,2012REG,6
1,2012,7,Week 7,Week 7,2012-10-17T00:00:00,2012-10-23T23:59:59,2012REG,7
1,2012,8,Week 8,Week 8,2012-10-24T00:00:00,2012-10-30T23:59:59,2012REG,8
1,2012,9,Week 9,Week 9,2012-10-31T00:00:00,2012-11-06T23:59:59,2012REG,9
1,2012,10,Week 10,Week 10,2012-11-07T00:00:00,2012-11-13T23:59:59,2012REG,10
1,2012,11,Week 11,Week 11,2012-11-14T00:00:00,2012-11-20T23:59:59,2012REG,11
1,2012,12,Week 12,Week 12,2012-11-21T00:00:00,2012-11-27T23:59:59,2012REG,12
1,2012,13,Week 13,Week 13,2012-11-28T00:00:00,2012-12-04T23:59:59,2012REG,13
1,2012,14,Week 14,Week 14,2012-12-05T00:00:00,2012-12-11T23:59:59,2012REG,14
1,2012,15,Week 15,Week 15,2012-12-12T00:00:00,2012-12-18T23:59:59,2012REG,15
1,2012,16,Week 16,Week 16,2012-12-19T00:00:00,2012-12-25T23:59:59,2012REG,16
1,2012,17,Week 17,Week 17,2012-12-26T00:00:00,2012-12-31T23:59:59,2012REG,17
3,2012,1,Wild Card,Wild Card,2013-01-01T00:00:00,2013-01-07T23:59:59,2012POST,1
3,2012,2,Divisional Playoffs,Divisional,2013-01-08T00:00:00,2013-01-14T23:59:59,2012POST,2
3,2012,3,Conference Championships,Conference,2013-01-15T00:00:00,2013-01-21T23:59:59,2012POST,3
3,2012,4,Super Bowl XLVII,Super Bowl,2013-01-22T00:00:00,2013-02-08T23:59:59,2012POST,4
4,2012,,Scouting Combine,Combine,2013-02-09T00:00:00,2013-02-28T23:59:59,2012REG,
4,2012,,End of League Year,End of League Year,2013-03-01T00:00:00,2013-03-11T23:59:59,2012REG,
4,2013,,Free Agency,Free Agency,2013-03-12T00:00:00,2013-04-14T23:59:59,2013REG,
4,2013,,2013 NFL Draft,NFL Draft,2013-04-15T00:00:00,2013-06-22T23:59:59,2013REG,
4,2013,,Rookie Symposium,Rookie Symposium,2013-06-23T00:00:00,2013-06-30T23:59:59,2013REG,
4,2013,,Training Camp,Training Camp,2013-07-01T00:00:00,2013-08-01T23:59:59,2013REG,
2,2013,0,Hall of Fame Weekend,HOF Weekend,2013-08-02T00:00:00,2013-08-05T23:59:59,2013PRE,0
2,2013,1,Preseason Week 1,Week 1,2013-08-06T00:00:00,2013-08-12T23:59:59,2013PRE,1
2,2013,2,Preseason Week 2,Week 2,2013-08-13T00:00:00,2013-08-20T23:59:59,2013PRE,2
2,2013,3,Preseason Week 3,Week 3,2013-08-21T00:00:00,2013-08-26T23:59:59,2013PRE,3
2,2013,4,Preseason Week 4,Week 4,2013-08-27T00:00:00,2013-08-30T23:59:59,2013PRE,4
1,2013,1,Week 1,Week 1,2013-08-31T00:00:00,2013-09-10T23:59:59,2013REG,1
1,2013,2,Week 2,Week 2,2013-09-11T00:00:00,2013-09-17T23:59:59,2013REG,2
1,2013,3,Week 3,Week 3,2013-09-18T00:00:00,2013-09-24T23:59:59,2013REG,3
1,2013,4,Week 4,Week 4,2013-09-25T00:00:00,2013-10-01T23:59:59,2013REG,4
1,2013,5,Week 5,Week 5,2013-10-02T00:00:00,2013-10-08T23:59:59,2013REG,5
1,2013,6,Week 6,Week 6,2013-10-09T00:00:00,2013-10-15T23:59:59,2013REG,6
1,2013,7,Week 7,Week 7,2013-10-16T00:00:00,2013-10-22T23:59:59,2013REG,7
1,2013,8,Week 8,Week 8,2013-10-23T00:00:00,2013-10-29T23:59:59,2013REG,8
1,2013,9,Week 9,Week 9,2013-10-30T00:00:00,2013-11-05T23:59:59,2013REG,9
1,2013,10,Week 10,Week 10,2013-11-06T00:00:00,2013-11-12T23:59:59,2013REG,10
1,2013,11,Week 11,Week 11,2013-11-13T00:00:00,2013-11-19T23:59:59,2013REG,11
